id,vp_building_id,name,description,summary,address,city,postal_code,state_id,website,gla,acres,lat,longitude,leasing_contact_phone,leasing_contact_name,leasing_contact_address,leasing_contact_email,property_overview,property_status,management_type,project_type,property_type,dma,year_built,renovation,traffic_count,occupancy_rate,owner,acquisition_date,disposition_date,created,modified,deleted,user_id,version_number,last_published,publish_status,vp_description,vp_publish_status,property_id,marker_y,marker_x,flickr_url
5,680,505 9th Street NW,,,505 9th Street NW,Washington,,1,,3124,,,,,Eric Rubin,,erubin@madisonretail.com,,,,3rd Party,,,,,,0.000000000,Boston Properties,,,,5/17/07 13:34,5/17/07 13:34,,1,,Published,,Publish,,,,
6,681,The Citadel,,,"1631 Kalorama Rd, NW",Washington,,1,,2865,,,,,Eric Rubin,,erubin@madisonretail.com,,,,3rd Party,,,,,,0.000000000,Douglas Development Corporation,,,,5/17/07 13:35,5/17/07 13:35,,1,,Published,,Publish,,,,
7,682,2201 Wisconsin Avenue,,,"2201 Wisconsin Ave., NW",Washington,,1,,7366,,,,,,,,,,,3rd Party,,,,,,0.000000000,Lenkin Company,,,,5/17/07 13:35,5/17/07 13:35,,1,,Published,,Publish,,,,
8,683,"3343 Prospect Street, NW",,,3343 Prospect St. NW,Washington,,1,,3336,,,,,,,,,,,3rd Party,,,,,,0.000000000,Douglas Development Corporation,,,,5/17/07 13:35,5/17/07 13:35,,1,,Published,,Publish,,,,
9,684,601 Pennsylvania Ave. NW,,,601 Pennsylvania Ave. NW,Washington,,1,,3250,,,,,,,,,,,3rd Party,,,,,,0.000000000,Lawrence Ruben Company,,,,5/17/07 13:36,5/17/07 13:36,,1,,Published,,Publish,,,,
10,685,901 New York Ave. NW,,,901 New York Ave. NW,Washington,,1,,2973,,,,,,,,,,,3rd Party,,,,,,0.000000000,Boston Properties,,,,5/17/07 13:36,5/17/07 13:36,,1,,Published,,Publish,,,,
11,691,Franklin Square North,,,1100 13th St. NW,Washington,,1,,13678,,,,,,,,,,,3rd Party,,,,,,0.000000000,Monument Realty,,,,5/17/07 13:37,5/17/07 13:37,,1,,Published,,Publish,,,,
12,692,Massachusetts Court,,,300 Massachusetts Ave. NW,Washington,,1,http://www.masscourt.com,4500,0,,,,,,,,,,3rd Party,,,0,,,0.000000000,Pritzker Residential,0000-00-00,0000-00-00,,5/17/07 13:33,5/17/07 13:33,,1,,Published,,Publish,,,,
13,693,Republic Square,,,25 Massachusetts Ave. and 660 North Capitol,Washington,,1,,2583,,,,,,,,,,,3rd Party,,,,,,0.000000000,Republic Properties Corporation,,,,5/17/07 13:37,5/17/07 13:37,,1,,Published,,Publish,,,,
14,706,Quincy Plaza,,,3900 Fairfax Drive,Arlington,,56,,5285,,,,,,,,,,,3rd Party,,,,,,0.000000000,Dittmar Company,,,,5/17/07 13:37,5/17/07 13:37,,1,,Published,,Publish,,,,
15,707,The Shops at Spectrum,,,W. Broad St.,Falls Church,,56,,32000,,,,,,,,,,,3rd Party,,,,,,0.000000000,Waterford Commercial,,,,5/17/07 13:38,5/17/07 13:38,,1,,Published,,Publish,,,,
16,654,Southbridge,"<p>Located in the heart of Mason City, Southbridge Mall is the largest enclosed shopping center in the northern Iowa/southern Minnesota area and has become the area&rsquo;s unofficial civic center. Rating guides declare Mason City to be among the nation&rsquo;s 10 best small towns to live in, and the city&rsquo;s strong economy attracts more retail sales than any other of the 12 Iowa cities in its population category. Conveniently located to serve this prosperous community, Southbridge, a 250,000 square foot regional center, offers area residents an inviting atmosphere with a wide selection of retail, entertainment and service.</p><p><a href=""../../files/leasing_brochures/Southbridge_Final.pdf"">Download Leasing Brochure</a> &nbsp;</p>",,100 S Federal Avenue,Mason City,50401,20,,222851,8,-93.201217,43.1527,,,,,,,Managed,,Regional,"Rochester-Mason City-Austin, IA-MN",1984,1997,N/A,100\%,"Mall Associates, LLC",,,,5/13/08 11:50,,75,7,3/4/08 12:10,Retired,,Publish,,-70,44,
17,655,Mariner’s Village,,,E. Michigan Street,Orlando,,13,,133440,13.5,-81.330869,28.5131,,,,,,,Owned,,Neighborhood,"Orlando-Daytona Beach-Melbourne, FL",1987,,"34,000",100\%,"MM/Orlando, LLC",Jul 27 2005 12:00AM,,,5/17/07 13:38,5/17/07 13:38,65,2,5/17/07 11:13,Published,,Publish,,,,
18,656,1055 Wall Street,,,1055 Wall Street,La Jolla,,7,,46500,0.64,-117.2739145,32.8468,,,,,,,Owned,,Urban/Specialty,"San Diego, CA",1981,,"4,100",100\%,Madison Marquette,,,,5/17/07 13:53,5/17/07 13:53,,1,,Published,,Publish,,,,
19,657,Monroe Crossing,"<p>Monroe Crossing is a 396,000 square foot regional mall located in Monroe, a southern suburban area of Charlotte, North Carolina. Anchored by JCPenney, Belk and Sears, Monroe Crossing offers a wide variety of well know stores and specialty shops including Bath and Body Works, GNC, Shoe Department and Hallmark.</p><p><a href=""/files/fact_sheets/Monroe%20Crossing%20-%20Fact%20Sheet.pdf"">Download Fact Sheet</a></p><p><a href=""/files/site_plans/Monroe%20Crossing%20-%20Site%20Plans.pdf"">Download Site Plan</a></p><p><a href=""/files/leasing_brochures/Monroe%20Crossing%20-%20Brochure.pdf"">Download Leasing Brochure</a></p><p><a href=""http://www.facebook.com/MonroeCrossingNC""><img src=""http://static.ak.fbcdn.net/rsrc.php/z1M25/hash/5u84f48n.gif"" border=""0"" alt=""facebook"" title=""facebook"" width=""144"" height=""44"" /></a></p><div><object width=""300"" height=""225"" data=""http://www.flickr.com/apps/slideshow/show.swf?v=71649"" type=""application/x-shockwave-flash""><param name=""flashvars"" value=""offsite=true&amp;lang=en-us&amp;page_show_url=%2Fphotos%2Fmadisonmarquette%2Fsets%2F72157621838095691%2Fshow%2F&amp;page_show_back_url=%2Fphotos%2Fmadisonmarquette%2Fsets%2F72157621838095691%2F&amp;set_id=72157621838095691&amp;jump_to="" /><param name=""allowfullscreen"" value=""true"" /><param name=""src"" value=""http://www.flickr.com/apps/slideshow/show.swf?v=71649"" /></object></div>",,2115 West Roosevelt Boulevard,Monroe,28110,39,http://www.shopmonroecrossing.com,396000,41,-80.56035,35.00747,704-625-7001,Denise Browning,"4720 Piedmont Row DriveSuite 421Charlotte, NC 28210",denise.browning@madisonmarquette.com,,,Owned,,Regional,"Charlotte, NC-SC",1979,"2001, 2009",54000,70%,,Dec-05,,,6/6/12 11:30,,96,53,6/6/12 11:30,Inactive,,Publish,,40,215,http://www.flickr.com/photos/madisonmarquette/sets/72157621838095691/show/
20,658,Lane Avenue Shopping Center,"<p>Ideally located in Upper Arlington, an affluent district of Columbus, Lane Avenue features leading fashion and lifestyle merchants including Wild Oats Market, Chico&#39;s, Talbots, Talbots Petites, White House/Black Market and more.&nbsp; Comprehensive remerchandising and redevelopment of the center has been completed adding new restaurants such as Wolfgang Puck Express and specialty retailers along with extensive physical enhancements to create a more inviting destination for residents of this upscale trade area.</p><p><a href=""../../files/leasing_brochures/LaneAve_Final.pdf"">Download Leasing Brochure</a> &nbsp;</p>",,1585 West Lane Avenue,Upper Arlington,,42,,177092,0,,,,,,,,,,3rd Party,Fashion Specialty Center,,0,,,0.863591000,,0000-00-00,0000-00-00,,5/18/07 16:22,6/13/07 11:09,72,5,5/18/07 16:22,Published,,Publish,,-32,165,
21,659,One Canal Place,,,333 Canal Street,New Orleans,,23,,42943,,,,,,,,,Operating,,3rd Party,Fashion Specialty Center,,,,,0.814289000,,,,,5/17/07 13:39,5/17/07 13:39,,1,,Published,,Publish,,,,
22,660,The Shops at Canal Place,"<p>Located on internationally renowned Canal Street in downtown New Orleans, The Shops at Canal Place is a popular shopping destination for residents and visitors. Anchored by Saks Fifth Avenue, the specialty center includes 40 leading national, regional and local retailers, along with a four-screen Landmark cinema. </p><p><a href=""files/Canal_Place.pdf"">Download Leasing&nbsp;Brochure</a></p>",,333 Canal Street,New Orleans,70130,23,http://www.theshopsatcanalplace.com,262000,4,-90.0654695,29.950718,954-712-1339,Joy Medlock,"110 E. Broward BoulevardSuite 1530Fort Lauderdale, FL33301",joy.medlock@madisonmarquette.com,,,Managed,,Urban/Specialty,"New Orleans,LA-MS",1983,2006,"2,813",95%,"The Shops and Garage at Canal Place, LLC and Aetna/Loeb Investments",,,,5/14/08 11:36,,75,21,5/14/08 11:36,Inactive,,Publish,,146,63,
23,661,Bellevue Center,"<p>With over 50 specialty stores and three outstanding department stores, Bellevue Center, 840,000 square feet regional center, is Nashville&rsquo;s family oriented shopping venue. The property, currently being repositioned and remerchandised, is anchored by Dillard&rsquo;s,Hecht&rsquo;s and Sears. Its soft-play area in the center court attracts more than 100,000 families with children each year. The play area is better know as Roo&rsquo;s Kids Zone, where Roo, the property mascot, makes appearances and performs with Elfreda the Good Fairy. Bellevue Center is conveniently located approximately 15 miles southwest of downtown Nashville on Interstate 40.</p><p><a href=""../../files/leasing_brochures/Bellevue_Final.pdf"">Download Leasing Brochure</a> </p>",,7620 Highway 70 South,Nashville,37221,51,http://www.bellevuecenter.com,848545,85,-86.94569,36.0771,952/852.5238,George O'Brien,"11100 Wayzata BoulevardSuite 601Minnetonka, MN55305",,,,,,Regional,"Nashville, TN-KY",1990,2000,"24,100",93\%,Bellevue Center LLC/Oaktree Capital Management,,,,12/18/07 10:05,,80,8,9/13/07 14:21,Retired,,Publish,,41,145,
24,662,Inlet Square Mall,,,10125 Highway 17 Bypass,Murrells Inlet,,49,,432859,,,,,,,,,,,Madison Owned,,,,,,0.845492000,,,,,5/17/07 13:40,5/17/07 13:40,,1,,Published,,Publish,,,,
25,663,Novi Town Center,"<p>444,198 square foot regional center located at key Novi intersections with great access from I-96 and Novi Road. Novi Town Center features a diverse mix of over 44 national and boutique retailers such as Old Navy, Meryvn&#39;s, TJ Maxx, The Men&#39;s Warehouse, Comp USA, Borders Books &amp; Music, Pier 1 Imports and Novi Town Center 8. It offers customers various, entertainment, dining and shopping opportunities within a lifestyle environment.</p><p><a href=""../../files/leasing_brochures/Novi_Final.pdf"">Download Leasing Brochure&nbsp;</a> </p>",,26045 Town Center Drive,Novi,48375,28,,444198,41,-83.469401,42.4801,,,,,,,Managed,,,"Detroit, MI",1987,1994,"46,024",91\%,"Novi Town Center Investors, LLC",,,,5/13/08 11:50,,75,9,3/4/08 12:18,Retired,,Publish,,-72,162,
26,664,Tower Place,"<p>At the epicenter of downtown Cincinnati - in both stature and in style &ndash; Tower Place is where fashion forward retailers have thrived since the resurgence of the downtown experience in 1991. The three-level shopping center features dozens of exclusive shops and renowned retail establishments and an expansive food court with over a dozen dinning options. An extensive skywalk system links Tower Place with fellow downtown shopping and dining exclusives including Saks Fifth Avenue, Lazarus, Tiffany &amp; Company, Brooks Brothers, and Palomino Euro-bistro. The Greater Cincinnati Convention Center, six downtown hotels, are all also on the skywalk and are within 3 blocks of the center.</p><p><a href=""../../files/leasing_brochures/Tower Place_Final.pdf"">Download Leasing Brochure</a> </p>",,28 W. 4th Street,Cincinnati,,42,,108372,,-84.513098,39.0998,,,,,,,Managed,,,"Cincinnati, OH-IN-KY",1991,,"133,730",100\%,"Tower Place Retail, LLC",,,,5/18/07 15:57,,72,5,5/18/07 15:57,Inactive,,Publish,,-20,184,
27,665,Inlet Square Mall,,,10125 Highway 17 Bypass,Murrells Inlet,,49,,421370,,,,,,,,,,,Madison Owned,,,,,,0.837416000,,,,,5/17/07 13:40,5/17/07 13:40,,1,,Published,,Publish,,,,
28,666,Town Center Corte Madera,"<p>Modeled after an Italian hill town, Town Center Corte Madera is a charming neighborhood center that combines retail uses and office space to serve the community. The 447,761 square foot complex features popular restaurants and retailers such as: West Elm, The Container Store, REI, Z Gallerie, Ann Taylor Loft, Crate and Barrel, Barnes &amp; Noble, California Pizza Kitchen and Il Fornaio. Located just 10 minutes north of the Golden Gate Bridge, the center enjoys a very strong trade area. </p><p><a href=""/files/fact_sheets/Town_Center_Corte_Madera.pdf"">Download Fact Sheet</a> </p><p><a href=""/files/site_plans/Town_Center_Corte_Madera.pdf"">Download Site Plan</a></p>",,100 Corte Madera Town Center,Corte Madera,94925,7,http://www.shoptowncenter.com,447761,25,-122.526586,37.925275,415-277-6866,Hedy Veverka,"909 Montgomery StreetSuite 200San Francisco, CA94133",hedy.veverka@madisonmarquette.com,,,Managed,3rd Party,Lifestyle,San Fran/Oakland/San Jose,1958,1986,"164,000",100%,,,,,4/6/11 12:21,,88,23,5/21/10 17:23,Retired,,Publish,,-35,-335,
29,667,Corte Madera Town Center Off,,,100 Corte Madera Town Center,Corte Madera,,7,,76575,0,,,,,,,,,,3rd Party,Low Rise,,0,,,0.835664000,,0000-00-00,0000-00-00,,5/17/07 13:40,5/17/07 13:40,65,2,5/17/07 11:14,Published,,Publish,,,,
30,668,The Shops at La Jolla Village,"<p>The Shops at La Jolla Village is an approximately 192,000 square foot mixed-use neighborhood shopping center. The center features 158,529 square feet of retail space totaling 29 stores, 6,068 square foot of office space and 27,200 square feet of residential apartments, all located in beautiful La Jolla.</p><p><a href=""/files/fact_sheets/Shops_at_La_Jolla_Village.pdf"">Download Fact Sheet </a></p><p><a href=""/files/site_plans/Shops_at_La_Jolla_Village.pdf"">Download Site Plan</a></p><div><object width=""300"" height=""225"" data=""http://www.flickr.com/apps/slideshow/show.swf?v=71649"" type=""application/x-shockwave-flash""><param name=""flashvars"" value=""offsite=true&amp;lang=en-us&amp;page_show_url=%2Fphotos%2Fmadisonmarquette%2Fsets%2F72157626407301377%2Fshow%2F&amp;page_show_back_url=%2Fphotos%2Fmadisonmarquette%2Fsets%2F72157626407301377%2F&amp;set_id=72157626407301377&amp;jump_to="" /><param name=""allowfullscreen"" value=""true"" /><param name=""src"" value=""http://www.flickr.com/apps/slideshow/show.swf?v=71649"" /></object></div>",,8813 Villa La Jolla Drive,La Jolla,92037,7,,192000,15,-117.23389,32.869531,760-688-1340,Michael Hull,"1555 Camino Del MarSuite 315BDel Mar, CA 92014",Michael.Hull@MadisonMarquette.com,,,Managed,3rd Party,Community,"San Diego, CA",1980,1990,"29,600",100%,,,,,8/16/12 16:15,,97,28,6/6/12 18:51,Retired,,Publish,,48,-286,http://www.flickr.com/photos/madisonmarquette/sets/72157626407301377/show/
31,669,Jantzen Beach SuperCenter,"<p>Shoppers enjoy tax-free shopping at Jantzen Beach SuperCenter, a Portland tradition. Located minutes from Portland&#39;s central business district, this one-level enclosed shopping center offers a variety of specialty shops and restaurants and draws additional traffic from&nbsp;surrounding free-standing, bix box retailers such as Home Depot, Circuit City, Toys R US, Barnes &amp; Noble, Pier 1 Imports, Old Navy and Linen &#39;N Things. Anchored by Target, Burlington Coat Factory and Ross Dress for Less, Jantzen Beach SuperCenter&#39;s dominant feature is its 1921 carousel located in the center of the mall.</p><p><a href=""/files/fact_sheets/Jantzen_Beach_SuperCenter.pdf"">Download Fact Sheet</a></p><p><a href=""/files/site_plans/Jantzen_Beach_SuperCenter.pdf"">Download Site Plan</a></p>",,1405 Jantzen Beach Center,Portland,,44,http://www.jantzenbeachsupercenter.com,788000,69,-122.673825,45.6112581,(323) 602-5312,Richard Wolf,"111 S. La Brea Ave.Third Floor, Suite 300Los Angeles, CA 90036",Richard.Wolf@MadisonMarquette.com,,,Managed,,Regional,"Portland, OR-WA",1928,1996,"124,500",95%,State of Michigan,,,,10/19/09 15:18,,88,16,9/23/09 9:32,Retired,,Publish,,-139,-304,
32,670,Jantzen Beach Carousel,,,1405 Jantzen Beach Center,Portland,,44,,0,0,,,,,,,,,,3rd Party,,,0,,,0.000000000,,0000-00-00,0000-00-00,,5/17/07 13:41,5/17/07 13:41,65,2,5/17/07 11:15,Published,,Publish,,,,
33,671,La Jolla Village Square,"This 415,000 square foot power community center is located in the heart of La Jolla, the jewel of the sea. With easy access from I-5, it features Cost Plus World Market, Trader Joe&#39;s, AMC Theaters, Ralph&#39;s Grocery and PetSmart.",,8657 Villa La Jolla Drive,La Jolla,,7,,414278,26,-117.2336945,32.8655,,,,,,,Owned,,Lifestyle,"San Diego, CA",1979,1997,"10,000",93\%,Lend Lease,,,,5/17/07 17:24,,67,5,5/17/07 17:24,Inactive,,Publish,,55,-286,
34,686,2501 Pennsylvania Ave. NW,,,2501 Pennsylvania Ave. NW,Washington,,1,,590,,,,,,,,,,,3rd Party,,,,,,0.000000000,Intrepid Real Estate,,,,5/17/07 13:41,5/17/07 13:41,,1,,Published,,Publish,,,,
35,687,425 Third Street NW,,,425 Third Street NW,Washington,,1,,23686,,,,,,,,,,,3rd Party,,,,,,0.000000000,"Clark Realty Capital, L.L.C.",,,,5/17/07 18:01,5/17/07 18:01,,1,,Published,,Publish,,,,
36,688,627 H Street NW,,,627 H Street NW,Washington,,1,,6656,,,,,,,,,,,3rd Party,,,,,,0.000000000,Lung Cheng Company,,,,5/17/07 13:42,5/17/07 13:42,,1,,Published,,Publish,,,,
37,689,Capitol Gateway Marketplace,,,East Capital and Southern Ave. NE,Washington,,1,,75000,,,,,,,,,,,3rd Party,,,,,,0.000000000,A &amp; R Development,,,,5/17/07 13:42,5/17/07 13:42,,1,,Published,,Publish,,,,
38,690,Chevy Chase Pavilion,,,5335 Wisconsin Ave. NW,Washington,,1,,4700,,,,,,,,,,,3rd Party,,,,,,0.000000000,ING Clarion,,,,5/17/07 13:42,5/17/07 13:42,,1,,Published,,Publish,,,,
39,694,The Jefferson at Penn Qtr,,,7th and E St. NW,Washington,,1,,10243,,,,,,,,,,,3rd Party,,,,,,0.000000000,JPI,,,,5/17/07 13:43,5/17/07 13:43,,1,,Published,,Publish,,,,
40,696,The Westory,,,607 14th St. NW,Washington,,1,,3323,,,,,,,,,,,3rd Party,,,,,,0.000000000,Deka Immobilien Investment GmbH,,,,5/17/07 13:43,5/17/07 13:43,,1,,Published,,Publish,,,,
41,695,The Portals,,,1250 Maryland Ave. SW,Washington,,1,,64000,,,,,,,,,,,3rd Party,,,,,,0.000000000,Republic Properties Corporation,,,,5/17/07 13:44,5/17/07 13:44,,1,,Published,,Publish,,,,
42,697,The Barlow Building,,,5454 Wisconsin Avenue,Washington,,1,,1664,,,,,,,,,,,3rd Party,,,,,,0.000000000,Columbia Equity Trust,,,,5/17/07 13:44,5/17/07 13:44,,1,,Published,,Publish,,,,
43,698,North Bethesda Center,,,Rockville Pike and Old Georgetown Rd,Bethesda,,26,,280000,,,,,,,,,,,3rd Party,,,,,,0.000000000,LCOR Incorporated,,,,5/17/07 13:45,5/17/07 13:45,,1,,Published,,Publish,,,,
44,699,The Village,,,Off Rte 1,College Park,,26,,25180,,,,,,,,,,,3rd Party,,,,,,0.000000000,Roadside Development,,,,5/17/07 13:45,5/17/07 13:45,,1,,Published,,Publish,,,,
45,700,Tribeca at Camp Springs,,,4701 Old Soper Rd.,Camp Springs,,26,,20396,,,,,,,,,,,3rd Party,,,,,,0.000000000,Wood Partners,,,,5/17/07 13:46,5/17/07 13:46,,1,,Published,,Publish,,,,
46,701,University Town Center,,,East West Highway and Belcrest Rd.,Hyattsville,,26,,250000,,,,,,,,,,,3rd Party,,,,,,0.000000000,University Town Center,,,,5/17/07 13:46,5/17/07 13:46,,1,,Published,,Publish,,,,
47,702,Westview Promenade,,,Maryland Rte. 85 & Crestwood Blvd.,Frederick,,26,,3900,,,,,,,,,,,3rd Party,,,,,,0.000000000,Hill Management,,,,5/17/07 13:47,5/17/07 13:47,,1,,Published,,Publish,,,,
48,703,1800 Wilson Blvd.,,,1800 Wilson Blvd.,Arlington,,56,,6440,,,,,,,,,,,3rd Party,,,,,,0.000000000,Holladay Corporation,,,,5/17/07 13:47,5/17/07 13:47,,1,,Published,,Publish,,,,
49,704,3101 Wilson Blvd.,,,3101 Wilson Blvd.,Arlington,,56,,7777,,,,,,,,,,,3rd Party,,,,,,0.000000000,"Kennedy Associates Real Estate Counsel, Inc.",,,,5/17/07 13:48,5/17/07 13:48,,1,,Published,,Publish,,,,
50,705,The Clarendon,,,7500 Old Georgetown Road,Bethesda,,56,,4065,,,,,,,,,,,3rd Party,,,,,,0.000000000,"Clark Realty Capital, L.L.C.",,,,5/17/07 13:48,5/17/07 13:48,,1,,Published,,Publish,,,,
51,638,2 & 48 Stockton,,,2 Stockton Street,San Francisco,,7,,72897,,-122.406207,37.7857,,,,,,,Managed,,Urban/Specialty,San Fran/Oakland/San Jose,,,,,Lend Lease/State of Florida,,,,5/17/07 13:49,5/17/07 13:49,65,2,5/17/07 11:19,Published,,Publish,,,,
52,639,48 Stockton Street,,,Stockton Street Properties,San Francisco,,7,,64287,0,,,,,,,,Operating,,3rd Party,Other Retail,,0,,,0.999999999,,0000-00-00,0000-00-00,,5/17/07 13:49,5/17/07 13:49,65,2,5/17/07 11:20,Published,,Publish,,,,
53,640,Plaza Rancho Penasquitos,,,c/o Madison Marquette Retail,Los Angeles,,7,,68955,,-117.1147175,32.9603,,,,,,,Managed,,Community,"San Diego, CA",1980,,"52,000",100\%,"Hiroyasu Nakano/Sun Brewer Partners, LP",,,,5/17/07 13:50,5/17/07 13:50,,1,,Published,,Publish,,,,
54,641,Rancho Penasquitos (Phase 2),,,c/o Madison Marquette Retail,Los  Angeles,,7,,72935,,,,,,,,,Operating,,3rd Party,Community Center,,,,,0.999999999,,,,,5/17/07 13:50,5/17/07 13:50,,1,,Published,,Publish,,,,
55,642,Rancho Penasquitos (Phase 3),,,c/o Madison Marquette Retail,Los  Angeles,,7,,26109,,,,,,,,,Operating,,3rd Party,Community Center,,,,,0.968440000,,,,,5/17/07 13:51,5/17/07 13:51,,1,,Published,,Publish,,,,
56,643,Beach Garfield Center,,,c/o Madison Marquette Retail,Los Angeles,,7,,68135,,-117.98852,33.6862,,,,,,,Managed,,Community,"Los Angeles, CA",1962,1996,"41,000",100\%,"Hiroyasu Nakano/Sun Brewer Partners, LP",,,,5/17/07 13:51,5/17/07 13:51,,1,,Published,,Publish,,,,
57,644,Beach Garfield (Phase 2),,,c/o Madison Marquette Retail,Los Angeles,,7,,25845,,,,,,,,,Operating,,3rd Party,Community Center,,,,,0.999999999,,,,,5/17/07 13:52,5/17/07 13:52,,1,,Published,,Publish,,,,
58,645,Jefferson Pointe,,,4110 West Jefferson Blvd.,Fort Wayne,,19,,543479,2.13,-85.186971,41.0746,,,,,,,Managed,,Lifestyle,"Ft.Wayne, IN-OH",2001,,,100\%,"Von Maur, Inc.",,,,5/17/07 13:53,5/17/07 13:53,,1,,Published,,Publish,,,,
